"","HGNC_ID","Treatment","Cell_Line","mean","sd"
"1","ACTL6A","si16","CHLA10",2459.09500733333,219.512103554251
"2","ACTL6A","si16","CHLA9",4206.620071,476.670353045885
"3","ACTL6A","si16","TC252",5108.60504533333,1096.98187736908
"4","ACTL6A","si16","TC32",2695.01528266667,458.119448914646
"5","ACTL6A","si16","TC71",5662.07401733333,1122.46983419321
"6","ACTL6A","si30","CHLA10",2565.121891,465.886966871055
"7","ACTL6A","si30","CHLA9",4477.749846,526.039775203458
"8","ACTL6A","si30","TC252",6398.15618133333,1375.323271303
"9","ACTL6A","si30","TC32",3003.65867366667,107.363474593739
"10","ACTL6A","si30","TC71",4738.885061,469.927198937845
"11","ACTL6A","siNeg_16","CHLA10",2273.14626833333,514.937953592627
"12","ACTL6A","siNeg_16","CHLA9",3822.554414,346.93626243885
"13","ACTL6A","siNeg_16","TC252",6213.03757833333,1132.47374120148
"14","ACTL6A","siNeg_16","TC32",3366.107008,916.13043885998
"15","ACTL6A","siNeg_16","TC71",6174.249866,685.448757779163
"16","ACTL6A","siNeg_30","CHLA10",2448.53345566667,458.402674655083
"17","ACTL6A","siNeg_30","CHLA9",4981.55176,375.735259328834
"18","ACTL6A","siNeg_30","TC252",6423.483195,215.505183174873
"19","ACTL6A","siNeg_30","TC32",4685.02339133333,804.721666645652
"20","ACTL6A","siNeg_30","TC71",6297.928363,1217.31956111796
"21","ARID1A","si16","CHLA10",9907.780239,1635.44454419287
"22","ARID1A","si16","CHLA9",16521.2167833333,2038.33569166621
"23","ARID1A","si16","TC252",13154.784991,2816.48239668734
"24","ARID1A","si16","TC32",11014.77456,1878.12678959947
"25","ARID1A","si16","TC71",7467.80886966667,2845.16131065983
"26","ARID1A","si30","CHLA10",11867.58439,2950.26637865298
"27","ARID1A","si30","CHLA9",15601.9536566667,1996.73109213047
"28","ARID1A","si30","TC252",17153.7994633333,4074.29885434965
"29","ARID1A","si30","TC32",11697.5635433333,1164.16833330206
"30","ARID1A","si30","TC71",8645.51425466667,986.527933025131
"31","ARID1A","siNeg_16","CHLA10",8943.67139,1828.35493149235
"32","ARID1A","siNeg_16","CHLA9",14719.6044733333,1490.92901393776
"33","ARID1A","siNeg_16","TC252",13827.8076033333,3007.06112829081
"34","ARID1A","siNeg_16","TC32",12888.23303,3247.5508053063
"35","ARID1A","siNeg_16","TC71",6794.75104933333,1331.32132245123
"36","ARID1A","siNeg_30","CHLA10",9334.76569233333,2088.6990329543
"37","ARID1A","siNeg_30","CHLA9",16049.9718866667,1258.36612861458
"38","ARID1A","siNeg_30","TC252",13732.2978233333,875.398914939832
"39","ARID1A","siNeg_30","TC32",16722.8210066667,4546.12331452937
"40","ARID1A","siNeg_30","TC71",7054.88589466667,961.700696251659
"41","ARID1B","si16","CHLA10",2828.47080266667,238.786348512257
"42","ARID1B","si16","CHLA9",6113.33954833333,510.968693384364
"43","ARID1B","si16","TC252",5665.121315,1425.39573684961
"44","ARID1B","si16","TC32",3357.838908,386.232879614892
"45","ARID1B","si16","TC71",2926.15284066667,740.536741655619
"46","ARID1B","si30","CHLA10",3982.36834666667,856.204380553656
"47","ARID1B","si30","CHLA9",6506.05316166667,985.676251425833
"48","ARID1B","si30","TC252",6114.046392,1308.20170508631
"49","ARID1B","si30","TC32",3190.36427533333,208.252497491603
"50","ARID1B","si30","TC71",4449.12368466667,600.301736782529
"51","ARID1B","siNeg_16","CHLA10",3036.17786025,589.506552362392
"52","ARID1B","siNeg_16","CHLA9",6049.9071715,682.796689418319
"53","ARID1B","siNeg_16","TC252",6007.8944675,968.149379961695
"54","ARID1B","siNeg_16","TC32",3590.26790575,725.311806500952
"55","ARID1B","siNeg_16","TC71",3126.95876675,627.428516599124
"56","ARID1B","siNeg_30","CHLA10",3519.295285,1052.89054469354
"57","ARID1B","siNeg_30","CHLA9",7350.655228,1024.29760436553
"58","ARID1B","siNeg_30","TC252",5771.9196025,22.8104834080848
"59","ARID1B","siNeg_30","TC32",4230.5114225,1233.60985173451
"60","ARID1B","siNeg_30","TC71",3673.70728,559.061602176473
"61","SMARCA2","si16","CHLA10",3799.04280066667,373.684667354193
"62","SMARCA2","si16","CHLA9",3071.07134266667,345.54842859499
"63","SMARCA2","si16","TC252",395.666557566667,65.5772779368203
"64","SMARCA2","si16","TC32",3592.69984133333,361.92079108711
"65","SMARCA2","si16","TC71",563.3578438,177.497214423953
"66","SMARCA2","si30","CHLA10",4250.66735766667,913.551861736031
"67","SMARCA2","si30","CHLA9",3129.72488966667,343.829485816075
"68","SMARCA2","si30","TC252",578.674106466667,116.255188738201
"69","SMARCA2","si30","TC32",4371.50398033333,303.656341039417
"70","SMARCA2","si30","TC71",789.016665366667,63.8594871672334
"71","SMARCA2","siNeg_16","CHLA10",3268.33408533333,688.385197459751
"72","SMARCA2","siNeg_16","CHLA9",2557.995707,167.41962446063
"73","SMARCA2","siNeg_16","TC252",306.3334063,51.3051119637778
"74","SMARCA2","siNeg_16","TC32",3416.87918933333,924.129654955446
"75","SMARCA2","siNeg_16","TC71",492.003984233333,87.7143642586164
"76","SMARCA2","siNeg_30","CHLA10",3712.13074566667,665.941310612065
"77","SMARCA2","siNeg_30","CHLA9",3056.44844133333,479.654033316144
"78","SMARCA2","siNeg_30","TC252",277.6728309,21.7330313476118
"79","SMARCA2","siNeg_30","TC32",4855.433009,1158.31302969527
"80","SMARCA2","siNeg_30","TC71",450.666804033333,104.433498460126
"81","SMARCA4","si16","CHLA10",29587.9206766667,4725.64780766913
"82","SMARCA4","si16","CHLA9",30995.50501,3494.89208074412
"83","SMARCA4","si16","TC252",26037.9133833333,5704.03798519058
"84","SMARCA4","si16","TC32",25495.7799633333,4084.46899734308
"85","SMARCA4","si16","TC71",11600.1643833333,2329.8392583672
"86","SMARCA4","si30","CHLA10",33994.1590033333,8098.78410755737
"87","SMARCA4","si30","CHLA9",29149.5543233333,3905.60023757328
"88","SMARCA4","si30","TC252",31724.7974233333,7459.83216651831
"89","SMARCA4","si30","TC32",24048.7025433333,1765.79355770825
"90","SMARCA4","si30","TC71",13931.4896166667,1468.39606766283
"91","SMARCA4","siNeg_16","CHLA10",25411.5125633333,5569.99419371581
"92","SMARCA4","siNeg_16","CHLA9",26387.8125233333,2145.1528569141
"93","SMARCA4","siNeg_16","TC252",27448.3582633333,6037.25861840816
"94","SMARCA4","siNeg_16","TC32",25070.93527,5962.89026209772
"95","SMARCA4","siNeg_16","TC71",12311.8970033333,2130.02041643268
"96","SMARCA4","siNeg_30","CHLA10",27400.84265,5897.68910877084
"97","SMARCA4","siNeg_30","CHLA9",28165.3369333333,313.664640032094
"98","SMARCA4","siNeg_30","TC252",26484.7237466667,1223.74066559327
"99","SMARCA4","siNeg_30","TC32",30946.2108366667,7095.65558922836
"100","SMARCA4","siNeg_30","TC71",13110.3795233333,2140.90303180405
"101","SMARCB1","si16","CHLA10",4829.3384,562.004463271657
"102","SMARCB1","si16","CHLA9",5706.66949666667,624.93542713883
"103","SMARCB1","si16","TC252",4692.00179,1129.05635543694
"104","SMARCB1","si16","TC32",4354.00189,606.060378446027
"105","SMARCB1","si16","TC71",3415.33249333333,807.388292889228
"106","SMARCB1","si30","CHLA10",5887.33819666667,1295.38030896779
"107","SMARCB1","si30","CHLA9",5471.33547,722.798895592662
"108","SMARCB1","si30","TC252",6109.33644333333,1428.90859145769
"109","SMARCB1","si30","TC32",4502.99686666667,338.69049484016
"110","SMARCB1","si30","TC71",3785.33532333333,322.463453234666
"111","SMARCB1","siNeg_16","CHLA10",4420.00199333333,908.58641164362
"112","SMARCB1","siNeg_16","CHLA9",5006.00399666667,485.953342609354
"113","SMARCB1","siNeg_16","TC252",5062.66777,1062.88956049656
"114","SMARCB1","siNeg_16","TC32",4492.00205333333,1117.37171615909
"115","SMARCB1","siNeg_16","TC71",3555.99989833333,538.281474504666
"116","SMARCB1","siNeg_30","CHLA10",4504.99865666667,833.401507183988
"117","SMARCB1","siNeg_30","CHLA9",5503.33159,207.233460620874
"118","SMARCB1","siNeg_30","TC252",4794.33276333333,210.034734321903
"119","SMARCB1","siNeg_30","TC32",5638.00202333333,972.449998919948
"120","SMARCB1","siNeg_30","TC71",3393.66689433333,593.576971450526
"121","SMARCC1","si16","CHLA10",13786.0624566667,1382.46495665531
"122","SMARCC1","si16","CHLA9",46963.45866,5050.18035132837
"123","SMARCC1","si16","TC252",29764.33123,6304.204592713
"124","SMARCC1","si16","TC32",18795.3040666667,3289.82798231878
"125","SMARCC1","si16","TC71",14888.93227,1760.34094490617
"126","SMARCC1","si30","CHLA10",18020.6523633333,3924.70236185695
"127","SMARCC1","si30","CHLA9",51830.0689766667,5921.129330243
"128","SMARCC1","si30","TC252",38999.96359,8801.24221070162
"129","SMARCC1","si30","TC32",18937.8974733333,1223.51830523867
"130","SMARCC1","si30","TC71",16835.4771866667,1885.23429052398
"131","SMARCC1","siNeg_16","CHLA10",13136.3225466667,2859.13576744861
"132","SMARCC1","siNeg_16","CHLA9",47956.03232,4469.26775022409
"133","SMARCC1","siNeg_16","TC252",33646.6563533333,6135.72289590408
"134","SMARCC1","siNeg_16","TC32",20811.6996366667,5267.34541122821
"135","SMARCC1","siNeg_16","TC71",17795.33834,2429.74298318297
"136","SMARCC1","siNeg_30","CHLA10",13695.01166,2631.60122614014
"137","SMARCC1","siNeg_30","CHLA9",54830.1897933333,5850.05872645675
"138","SMARCC1","siNeg_30","TC252",34733.95279,1630.48835821238
"139","SMARCC1","siNeg_30","TC32",25896.3921366667,5793.76200368645
"140","SMARCC1","siNeg_30","TC71",16915.42017,3388.20206313579
"141","SMARCC2","si16","CHLA10",4756.37036666667,958.637834038165
