"","HGNC_ID","Cell Line","Treatment","Expression_Value"
"1","ARID1B","CHLA10","si16",2930.378741
"2","SMARCD1","CHLA10","si16",4758.004897
"3","SMARCE1","CHLA10","si16",6241.308212
"4","SMARCA2","CHLA10","si16",3894.124705
"5","SMARCD3","CHLA10","si16",1934.999294
"6","SMARCB1","CHLA10","si16",4832.00881
"7","SMARCD2","CHLA10","si16",1611.001336
"8","ARID1A","CHLA10","si16",9973.70959
"9","SMARCA4","CHLA10","si16",29346.33836
"10","ACTL6A","CHLA10","si16",2572.297388
"11","SMARCC2","CHLA10","si16",4775.032434
"12","SMARCC1","CHLA10","si16",14192.15305
"13","ARID1B","CHLA10","si16",2555.63849
"14","SMARCD1","CHLA10","si16",4165.00408
"15","SMARCE1","CHLA10","si16",5236.385648
"16","SMARCA2","CHLA10","si16",3387.00246
"17","SMARCD3","CHLA10","si16",1725.000785
"18","SMARCB1","CHLA10","si16",4266.00349
"19","SMARCD2","CHLA10","si16",1503.99775
"20","ARID1A","CHLA10","si16",8240.367997
"21","SMARCA4","CHLA10","si16",24987.69757
"22","ACTL6A","CHLA10","si16",2206.089949
"23","SMARCC2","CHLA10","si16",3788.537746
"24","SMARCC1","CHLA10","si16",12246.0328
"25","ARID1B","CHLA10","si16",2999.395177
"26","SMARCD1","CHLA10","si16",5234.997115
"27","SMARCE1","CHLA10","si16",7256.835444
"28","SMARCA2","CHLA10","si16",4116.001237
"29","SMARCD3","CHLA10","si16",2061.001226
"30","SMARCB1","CHLA10","si16",5390.0029
"31","SMARCD2","CHLA10","si16",1771.998602
"32","ARID1A","CHLA10","si16",11509.26313
"33","SMARCA4","CHLA10","si16",34429.7261
"34","ACTL6A","CHLA10","si16",2598.897685
"35","SMARCC2","CHLA10","si16",5705.54092
"36","SMARCC1","CHLA10","si16",14920.00152
"37","ARID1B","CHLA10","si30",2998.97362
"38","SMARCD1","CHLA10","si30",4167.00027
"39","SMARCE1","CHLA10","si30",5379.363415
"40","SMARCA2","CHLA10","si30",3202.000891
"41","SMARCD3","CHLA10","si30",1534.000852
"42","SMARCB1","CHLA10","si30",4394.00458
"43","SMARCD2","CHLA10","si30",1677.997099
"44","ARID1A","CHLA10","si30",8474.95641
"45","SMARCA4","CHLA10","si30",24657.2095
"46","ACTL6A","CHLA10","si30",2044.039753
"47","SMARCC2","CHLA10","si30",4082.717181
"48","SMARCC1","CHLA10","si30",13523.02298
"49","ARID1B","CHLA10","si30",4562.309973
"50","SMARCD1","CHLA10","si30",6220.009079
"51","SMARCE1","CHLA10","si30",6992.541262
"52","SMARCA2","CHLA10","si30",4676.000665
"53","SMARCD3","CHLA10","si30",2302.00145
"54","SMARCB1","CHLA10","si30",6708.0062
"55","SMARCD2","CHLA10","si30",2600.999071
"56","ARID1A","CHLA10","si30",13296.26384
"57","SMARCA4","CHLA10","si30",39116.87433
"58","ACTL6A","CHLA10","si30",2709.879887
"59","SMARCC2","CHLA10","si30",5913.757123
"60","SMARCC1","CHLA10","si30",19788.02539
"61","ARID1B","CHLA10","si30",4385.821447
"62","SMARCD1","CHLA10","si30",6567.00268
"63","SMARCE1","CHLA10","si30",7478.230791
"64","SMARCA2","CHLA10","si30",4874.000517
"65","SMARCD3","CHLA10","si30",2619.000289
"66","SMARCB1","CHLA10","si30",6560.00381
"67","SMARCD2","CHLA10","si30",2439.00178
"68","ARID1A","CHLA10","si30",13831.53292
"69","SMARCA4","CHLA10","si30",38208.39318
"70","ACTL6A","CHLA10","si30",2941.446033
"71","SMARCC2","CHLA10","si30",6420.31903
"72","SMARCC1","CHLA10","si30",20750.90872
"73","ARID1B","CHLA10","siNeg_16",3485.821059
"74","SMARCD1","CHLA10","siNeg_16",5224.999869
"75","SMARCE1","CHLA10","siNeg_16",6218.829888
"76","SMARCA2","CHLA10","siNeg_16",3942.996133
"77","SMARCD3","CHLA10","siNeg_16",2405.001002
"78","SMARCB1","CHLA10","siNeg_16",5358.001
"79","SMARCD2","CHLA10","siNeg_16",2166.99878
"80","ARID1A","CHLA10","siNeg_16",10895.21171
"81","SMARCA4","CHLA10","siNeg_16",31195.28539
"82","ACTL6A","CHLA10","siNeg_16",2711.417981
"83","SMARCC2","CHLA10","siNeg_16",5199.396124
"84","SMARCC1","CHLA10","siNeg_16",15804.47132
"85","ARID1B","CHLA10","siNeg_16",2812.834541
"86","SMARCD1","CHLA10","siNeg_16",4388.996498
"87","SMARCE1","CHLA10","siNeg_16",5366.956097
"88","SMARCA2","CHLA10","siNeg_16",3295.005151
"89","SMARCD3","CHLA10","siNeg_16",1927.999206
"90","SMARCB1","CHLA10","siNeg_16",4358.00085
"91","SMARCD2","CHLA10","siNeg_16",1845.997822
"92","ARID1A","CHLA10","siNeg_16",8665.39642
"93","SMARCA4","CHLA10","siNeg_16",24955.9788
"94","ACTL6A","CHLA10","siNeg_16",2402.003983
"95","SMARCC2","CHLA10","siNeg_16",4395.163448
"96","SMARCC1","CHLA10","siNeg_16",13486.11096
"97","ARID1B","CHLA10","siNeg_16",2304.607811
"98","SMARCD1","CHLA10","siNeg_16",3519.001952
